from,tx_count,tx_per_day,total_out_wei,unique_receivers,gas_price_mean,gas_price_std,gas_price_max,gap_mean,gap_std,gap_min,gap_max
0x764e103e3f285fa7d47e3f7dee6bcdc6005ae13b,1,1.0,100000000000000000,1,30000000000.0,,30000000000,0.0,0.0,0.0,0.0
0x78e3a45081e696da28d6f9c166b320f473d652c6,1,1.0,0,1,1000000015.0,,1000000015,0.0,0.0,0.0,0.0
0x7c91537ba4c803ea12efe52e1a30eb571effd1d6,1,1.0,0,1,2281682515.0,,2281682515,0.0,0.0,0.0,0.0
0x7eb47893871d7ba58a63e3545825b6dc6b38a920,3,3.0,0,2,13933333343.333334,21535165032.112785,38800000000,120.0,110.30865786510141,42.0,198.0
0x7ed746476a7f6520babd24eee1fdbcd0f7fb271f,6,6.0,3000000000000000000,6,1000000000030.0,0.0,1000000000030,69.6,89.770819312291,24.0,230.0
0x82a800d5565877580e6ace8a017307455eeb139f,20,20.0,0,1,1500000015.0,0.0,1500000015,0.0,0.0,0.0,0.0
0x87c9b02a10ec2cb4dcb3b2e573e26169cf3cd9bf,8,8.0,4000000000000000000,8,1000000000030.0,0.0,1000000000030,63.42857142857143,49.98285420307362,18.0,136.0
0x88c17d7d520ec68e0a3813721c903576260d4363,1,1.0,50000000000000000,1,1500000015.0,,1500000015,0.0,0.0,0.0,0.0
0x88eebb2eb011336822d25345552148338165ec21,4,4.0,0,3,2332312511.25,1167744638.5425162,3977000000,114.0,70.76722405181653,50.0,190.0
0x899abf76af40336006df10b71680b925aa86b6f7,1,1.0,0,1,439515000016.0,,439515000016,0.0,0.0,0.0,0.0
0x8a3c4f92ac0b6e95f795fa2542c0aa917409a773,2,2.0,0,1,288250000016.0,405525739011.89923,575000000017,232.0,0.0,232.0,232.0
0x9062efc93802ba1b0776ba936f3a7f74133e7c3b,1,1.0,100000000000000000,1,30000000000.0,,30000000000,0.0,0.0,0.0,0.0
0x97346dbd4a350191652b87f92dd2bc4bda6cbeb4,1,1.0,0,1,2425000015.0,,2425000015,0.0,0.0,0.0,0.0
0x990bb03540b6a29eb7555db6754a47ee9389dbed,1,1.0,0,1,377045454560.0,,377045454560,0.0,0.0,0.0,0.0
0x9d2e39d8d970680c24ed36d079c3482903360a02,1,1.0,100000000000000000,1,30000000000.0,,30000000000,0.0,0.0,0.0,0.0
0xa13ac4d448bd99b5fb919af0e577d35871ae9439,1,1.0,0,1,500000000016.0,,500000000016,0.0,0.0,0.0,0.0
0xa2b14b44d0182e40747c76bffba47eb19cdd8877,10,10.0,0,1,339508168262.8,275512766998.40204,575000000017,34.44444444444444,35.66199346331859,6.0,118.0
0xa7e4ef0a9e15bdef215e2ed87ae050f974ecd60b,6,6.0,3000000000000000000,6,1000000000030.0,0.0,1000000000030,69.2,89.95109782542956,26.0,230.0
0xb6948c38f7f5061dedaaac4c446c5a88ed7d75d6,1,1.0,0,1,10000000015.0,,10000000015,0.0,0.0,0.0,0.0
0xbb7ecee8a239b62a070dadb2312a7954953d03db,1,1.0,0,1,377045454560.0,,377045454560,0.0,0.0,0.0,0.0
0xbc5a2bc4c5fc1bb139b14955f6b0f8ebe444307e,3,3.0,0,1,271589772739.33334,124382028248.24274,399931818197,50.0,28.284271247461902,30.0,70.0
0xbd87131e51520da50147b44c76774aa1008ff600,1,1.0,25000000000000000,1,900000000027.0,,900000000027,0.0,0.0,0.0,0.0
0xc5ca2bfad4753eff2fef4d8fab970718c929e703,1,1.0,12300000000,1,2425000015.0,,2425000015,0.0,0.0,0.0,0.0
0xc6392ad8a14794ea57d237d12017e7295bea2363,2,2.0,200000000000000000,2,1000000000030.0,0.0,1000000000030,128.0,0.0,128.0,128.0
0xcf5f644db0aac2bf81688760dd9ae197550dca18,2,2.0,0,2,4100000000.0,0.0,4100000000,6.0,0.0,6.0,6.0
0xd5e6f34bbd4251195c03e7bf3660677ed2315f70,1,1.0,116000000000000000,1,2425000015.0,,2425000015,0.0,0.0,0.0,0.0
0xda09d16c3d1db49913f9ffed57ae09f778854f3c,1,1.0,0,1,399931818197.0,,399931818197,0.0,0.0,0.0,0.0
0xdef84e49ef697fe42b89f5afb95008dc98eb14a7,1,1.0,0,1,500000000015.0,,500000000015,0.0,0.0,0.0,0.0
0xedaf4083f29753753d0cd6c3c50aceb08c87b5bd,7,7.0,3500000000000000000,7,1000000000030.0,0.0,1000000000030,75.66666666666667,51.137722540866704,20.0,142.0
0xfd47ffb60e78dfadb8f731e616429788dc8504cb,2,2.0,399936999999370000,1,1500000015.0,0.0,1500000015,240.0,0.0,240.0,240.0
0xfef4f5ba0a0271b103a2a98a0ee2ee3e86689b17,3,3.0,0,2,171866666681.66666,271532324656.44553,485000000015,137.0,12.727922061357855,128.0,146.0
